CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
470beb2acde9   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   21.91%    8.707MiB / 2GiB       161MB / 135MB     0B / 0B         9
b8bb345795ee   peer3.org1.example.com                                                                                  9.05%     102.5MiB / 11.57GiB   146MB / 423MB     0B / 3.57MB     11
8254a117fe8e   peer2.org1.example.com                                                                                  11.56%    119.8MiB / 11.57GiB   143MB / 422MB     0B / 3.57MB     10
67026816d351   peer1.org1.example.com                                                                                  9.48%     101MiB / 11.57GiB     144MB / 425MB     0B / 3.58MB     11
48f46f718c6e   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    108kB / 17.5kB    0B / 336kB      1
52a456767a11   peer0.org1.example.com                                                                                  54.38%    142.5MiB / 11.57GiB   455MB / 218MB     41kB / 3.42MB   11
7913de4ff4e1   peer0.org2.example.com                                                                                  1.25%     83.02MiB / 11.57GiB   5.85MB / 2.83MB   0B / 3.42MB     10
bd7c85809023   couchdb0                                                                                                160.63%   126.7MiB / 11.57GiB   16.7MB / 364MB    0B / 1.55MB     42
8e54a0047684   couchdb1                                                                                                0.68%     60.51MiB / 11.57GiB   567kB / 568kB     0B / 1.54MB     42
8353effcce8b   orderer.example.com                                                                                     0.05%     23.48MiB / 11.57GiB   313kB / 1.27MB    0B / 618kB      9
67d00fac6afa   ca_orderer                                                                                              0.00%     7.707MiB / 11.57GiB   22.8kB / 27.2kB   0B / 659kB      8
5a5b1bfbfa5d   ca_org1                                                                                                 0.00%     7.355MiB / 11.57GiB   46kB / 77.7kB     0B / 1.13MB     7
a734556831be   ca_org2                                                                                                 0.00%     6.969MiB / 11.57GiB   27.5kB / 35.5kB   0B / 737kB      8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
ced523159be7   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   32.74%    13.34MiB / 2GiB       107MB / 86.5MB    0B / 0B         9
