CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
82087b71a034   peer6.org1.example.com                                                                                  12.74%    117.1MiB / 11.57GiB   24.1MB / 19.8MB   0B / 6.59MB   14
38688619acff   peer5.org1.example.com                                                                                  20.85%    125.1MiB / 11.57GiB   25.3MB / 20.5MB   0B / 7.97MB   13
b2f17e13c4a1   peer4.org1.example.com                                                                                  17.18%    124.7MiB / 11.57GiB   25.2MB / 19MB     0B / 7.98MB   14
0f521c16e549   peer3.org1.example.com                                                                                  13.97%    122.8MiB / 11.57GiB   25MB / 19.8MB     0B / 7.84MB   12
64a3df403f7f   peer2.org1.example.com                                                                                  20.41%    129.7MiB / 11.57GiB   26.2MB / 20.1MB   0B / 7.91MB   14
1d33a0774627   peer1.org1.example.com                                                                                  22.74%    122.3MiB / 11.57GiB   25.4MB / 19.3MB   0B / 7.69MB   14
34134e6bbb4d   cli                                                                                                     0.00%     1.062MiB / 11.57GiB   110kB / 17.5kB    0B / 336kB    1
77ffa431300a   peer0.org2.example.com                                                                                  15.01%    136.1MiB / 11.57GiB   11.7MB / 6.82MB   0B / 3.63MB   14
2ed2e2c83f1c   peer0.org1.example.com                                                                                  9.81%     123.7MiB / 11.57GiB   25.7MB / 23.5MB   0B / 4.38MB   12
f9a14036ab3e   couchdb0                                                                                                12.51%    61.04MiB / 11.57GiB   675kB / 684kB     0B / 2.1MB    42
a66bfbf9253e   couchdb1                                                                                                12.91%    99.57MiB / 11.57GiB   970kB / 1.01MB    0B / 1.62MB   42
50cf47e07905   orderer.example.com                                                                                     14.02%    47.68MiB / 11.57GiB   4.49MB / 33.2MB   0B / 8.72MB   13
06dec05ee085   ca_orderer                                                                                              0.00%     8.098MiB / 11.57GiB   24.3kB / 27.2kB   0B / 659kB    8
c4257beb273a   ca_org2                                                                                                 0.00%     8.371MiB / 11.57GiB   28.7kB / 35.5kB   0B / 737kB    8
d79a4f613ecf   ca_org1                                                                                                 0.00%     8.898MiB / 11.57GiB   72.5kB / 134kB    0B / 1.65MB   8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e3f81fe3dd34   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.72%     8.434MiB / 2GiB       1.18MB / 991kB    0B / 0B       8
ec17c381aecc   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.60%     31.12MiB / 2GiB       3.76MB / 1.76MB   0B / 0B       8
c936f8ce58ce   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.88%     8.016MiB / 2GiB       519kB / 221kB     0B / 0B       7
1b91ff1a660c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.79%     8.027MiB / 2GiB       547kB / 232kB     0B / 0B       8
5e219326626a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.68%     8.043MiB / 2GiB       577kB / 245kB     0B / 0B       7
4c75378b1eb8   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.75%     8.074MiB / 2GiB       603kB / 253kB     0B / 0B       8
78ab195fe9be   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.42%     7.957MiB / 2GiB       542kB / 226kB     0B / 0B       7
66a116cb08e9   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.65%     8.344MiB / 2GiB       598kB / 240kB     0B / 0B       7
1ba5731ce288   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.64%     8.051MiB / 2GiB       632kB / 269kB     0B / 0B       7
dd757f69cdc4   peer7.org1.example.com                                                                                  18.36%    128.9MiB / 11.57GiB   31MB / 22.8MB     0B / 10.5MB   14
82087b71a034   peer6.org1.example.com                                                                                  16.19%    131.4MiB / 11.57GiB   31.1MB / 27.3MB   0B / 8.87MB   15
38688619acff   peer5.org1.example.com                                                                                  15.04%    126.1MiB / 11.57GiB   29.1MB / 24.1MB   0B / 9.39MB   13
b2f17e13c4a1   peer4.org1.example.com                                                                                  11.23%    128.3MiB / 11.57GiB   31.9MB / 24.9MB   0B / 10.5MB   14
0f521c16e549   peer3.org1.example.com                                                                                  13.34%    133.6MiB / 11.57GiB   31.7MB / 25MB     0B / 10.5MB   12
64a3df403f7f   peer2.org1.example.com                                                                                  17.70%    131.3MiB / 11.57GiB   31.9MB / 25.3MB   0B / 9.97MB   14
1d33a0774627   peer1.org1.example.com                                                                                  21.57%    123.9MiB / 11.57GiB   30.8MB / 24.4MB   0B / 10.4MB   14
34134e6bbb4d   cli                                                                                                     0.00%     1.062MiB / 11.57GiB   110kB / 17.5kB    0B / 336kB    1
77ffa431300a   peer0.org2.example.com                                                                                  13.48%    177.8MiB / 11.57GiB   14.2MB / 9.63MB   0B / 3.7MB    14
2ed2e2c83f1c   peer0.org1.example.com                                                                                  9.55%     125.7MiB / 11.57GiB   30.7MB / 27.5MB   0B / 4.78MB   12
f9a14036ab3e   couchdb0                                                                                                12.06%    61.1MiB / 11.57GiB    724kB / 737kB     0B / 2.34MB   42
a66bfbf9253e   couchdb1                                                                                                12.92%    102.5MiB / 11.57GiB   1.28MB / 1.39MB   0B / 1.65MB   42
50cf47e07905   orderer.example.com                                                                                     27.86%    58.27MiB / 11.57GiB   7.02MB / 41.1MB   0B / 11.4MB   14
06dec05ee085   ca_orderer                                                                                              0.00%     7.148MiB / 11.57GiB   24.3kB / 27.2kB   0B / 659kB    8
c4257beb273a   ca_org2                                                                                                 0.00%     8.371MiB / 11.57GiB   28.7kB / 35.5kB   0B / 737kB    8
d79a4f613ecf   ca_org1                                                                                                 0.00%     8.898MiB / 11.57GiB   72.5kB / 134kB    0B / 1.65MB   8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e3f81fe3dd34   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.08%     8.445MiB / 2GiB       1.35MB / 1.06MB   0B / 0B       8
ec17c381aecc   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.11%     27MiB / 2GiB          5.05MB / 2.05MB   0B / 0B       8
c936f8ce58ce   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.25%     8.141MiB / 2GiB       678kB / 288kB     0B / 0B       7
1b91ff1a660c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.08%     7.961MiB / 2GiB       701kB / 296kB     0B / 0B       8
5e219326626a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.11%     8.281MiB / 2GiB       731kB / 308kB     0B / 0B       8
4c75378b1eb8   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.75%     8.305MiB / 2GiB       739kB / 305kB     0B / 0B       8
78ab195fe9be   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.25%     8.156MiB / 2GiB       720kB / 300kB     0B / 0B       7
66a116cb08e9   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.06%     8.23MiB / 2GiB        741kB / 297kB     0B / 0B       7
