CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d3d3a1496dda   peer1.org1.example.com                                                                                  7.55%     124.5MiB / 11.57GiB   357MB / 1.07GB    0B / 3.58MB   12
f5fdda2177b7   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   110kB / 17.1kB    0B / 336kB    1
7736081d0aef   peer0.org2.example.com                                                                                  1.41%     91.35MiB / 11.57GiB   9.67MB / 6.74MB   0B / 3.44MB   10
70bef0f527ae   peer0.org1.example.com                                                                                  46.66%    139.3MiB / 11.57GiB   1.28GB / 1.03GB   0B / 3.44MB   12
a45e6f4a2f3c   couchdb0                                                                                                174.27%   102.9MiB / 11.57GiB   33.8MB / 922MB    0B / 1.54MB   42
856dcfea961c   orderer.example.com                                                                                     0.06%     20.39MiB / 11.57GiB   384kB / 1.95MB    0B / 627kB    10
c67b804d4700   couchdb1                                                                                                1.10%     56.84MiB / 11.57GiB   569kB / 569kB     0B / 1.55MB   42
aac7563a02fa   ca_org2                                                                                                 0.00%     7.289MiB / 11.57GiB   47.4kB / 77.3kB   0B / 1.13MB   8
59e30af5515e   ca_org1                                                                                                 0.00%     6.938MiB / 11.57GiB   47.5kB / 77.5kB   0B / 1.13MB   7
230d066d0a88   ca_orderer                                                                                              0.00%     7.137MiB / 11.57GiB   24.4kB / 27.3kB   0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e878ae6139e7   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.695MiB / 2GiB       654kB / 783kB     0B / 0B       7
7b78d3a1f7e3   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.22%    10.39MiB / 2GiB       404MB / 341MB     0B / 0B       9
a53f1bee0a4d   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   30.64%    11.16MiB / 2GiB       408MB / 343MB     0B / 0B       9
be6e23cfcaa7   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   31.81%    11.37MiB / 2GiB       407MB / 343MB     0B / 0B       10
638d4abd2f96   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     4.965MiB / 2GiB       10.3kB / 6.94kB   0B / 0B       7
d129f753f997   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   28.74%    10.84MiB / 2GiB       407MB / 343MB     0B / 0B       10
1e86acc46be4   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     4.965MiB / 2GiB       10.3kB / 6.96kB   0B / 0B       7
6f91da08f2d8   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.145MiB / 2GiB       10.6kB / 7.07kB   0B / 0B       7
d660cedc73e9   peer3.org2.example.com                                                                                  3.44%     80.49MiB / 11.57GiB   8.1MB / 5.25MB    0B / 3.58MB   11
19bf5e37eea5   peer2.org2.example.com                                                                                  1.46%     85.78MiB / 11.57GiB   8.29MB / 4.99MB   0B / 3.58MB   10
c8e98f21a5b2   peer1.org2.example.com                                                                                  1.43%     88.05MiB / 11.57GiB   8.07MB / 5.02MB   0B / 3.58MB   10
6e871dd28013   peer3.org1.example.com                                                                                  13.43%    109.5MiB / 11.57GiB   360MB / 1.08GB    0B / 3.58MB   11
7611bfc21290   peer2.org1.example.com                                                                                  14.75%    106.9MiB / 11.57GiB   360MB / 1.08GB    0B / 3.58MB   11
d3d3a1496dda   peer1.org1.example.com                                                                                  15.07%    124.6MiB / 11.57GiB   361MB / 1.08GB    0B / 3.58MB   12
f5fdda2177b7   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   110kB / 17.1kB    0B / 336kB    1
7736081d0aef   peer0.org2.example.com                                                                                  1.33%     91.35MiB / 11.57GiB   9.71MB / 6.77MB   0B / 3.44MB   10
70bef0f527ae   peer0.org1.example.com                                                                                  26.38%    131.2MiB / 11.57GiB   1.29GB / 1.04GB   0B / 3.44MB   12
a45e6f4a2f3c   couchdb0                                                                                                95.38%    102.8MiB / 11.57GiB   34MB / 931MB      0B / 1.54MB   42
856dcfea961c   orderer.example.com                                                                                     0.10%     20.4MiB / 11.57GiB    384kB / 1.95MB    0B / 627kB    10
c67b804d4700   couchdb1                                                                                                11.32%    56.85MiB / 11.57GiB   569kB / 569kB     0B / 1.55MB   42
aac7563a02fa   ca_org2                                                                                                 0.00%     7.289MiB / 11.57GiB   47.4kB / 77.3kB   0B / 1.13MB   8
59e30af5515e   ca_org1                                                                                                 0.00%     6.938MiB / 11.57GiB   47.5kB / 77.5kB   0B / 1.13MB   7
230d066d0a88   ca_orderer                                                                                              0.00%     7.137MiB / 11.57GiB   24.4kB / 27.3kB   0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e878ae6139e7   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.695MiB / 2GiB       654kB / 783kB     0B / 0B       7
