CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.29%    8.387MiB / 2GiB       209MB / 174MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   28.16%    10.66MiB / 2GiB       209MB / 174MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  17.46%    93.27MiB / 11.57GiB   193MB / 554MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  14.62%    91.79MiB / 11.57GiB   191MB / 555MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  13.59%    102.9MiB / 11.57GiB   191MB / 554MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  35.20%    192.3MiB / 11.57GiB   611MB / 436MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  2.64%     83.27MiB / 11.57GiB   8.12MB / 5.23MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.04%     20.7MiB / 11.57GiB    520kB / 1.3MB     19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                133.17%   185.2MiB / 11.57GiB   17.9MB / 459MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                1.36%     70.51MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.148MiB / 11.57GiB   46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.49%    19.48MiB / 2GiB       172MB / 138MB     0B / 0B           9
