CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
173957f1efd7   peer2.org1.example.com                                                                                  9.71%     124.9MiB / 11.57GiB   227MB / 674MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  14.72%    105.1MiB / 11.57GiB   227MB / 676MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.64%     101.5MiB / 11.57GiB   6.47MB / 3.51MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  28.54%    167.1MiB / 11.57GiB   496MB / 110MB     0B / 3.43MB       11
a837ede80b9a   couchdb1                                                                                                1.98%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.07%     24.09MiB / 11.57GiB   530kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                166.39%   134.1MiB / 11.57GiB   21.7MB / 459MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   16.99%    15.29MiB / 2GiB       41.3MB / 29.8MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   23.95%    8.812MiB / 2GiB       262MB / 220MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   32.26%    9.34MiB / 2GiB        261MB / 219MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   33.91%    9.379MiB / 2GiB       262MB / 220MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  14.92%    114.4MiB / 11.57GiB   234MB / 689MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  13.38%    122MiB / 11.57GiB     232MB / 692MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  8.84%     105.1MiB / 11.57GiB   232MB / 692MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
