CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.91%    9.156MiB / 2GiB       158MB / 132MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   21.39%    8.711MiB / 2GiB       158MB / 132MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  11.54%    103.8MiB / 11.57GiB   145MB / 416MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  11.71%    111.9MiB / 11.57GiB   143MB / 416MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  11.70%    91.36MiB / 11.57GiB   143MB / 416MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  33.06%    132.2MiB / 11.57GiB   491MB / 410MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  0.81%     66.38MiB / 11.57GiB   5.41MB / 2.5MB    0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.16%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.04%     19.57MiB / 11.57GiB   258kB / 979kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                177.98%   87.71MiB / 11.57GiB   10.5MB / 351MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.07%    12.1MiB / 2GiB        159MB / 133MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.633MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.95%    8.773MiB / 2GiB       163MB / 136MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.20%    8.816MiB / 2GiB       163MB / 136MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.07%    9.148MiB / 2GiB       162MB / 135MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  10.88%    96.33MiB / 11.57GiB   150MB / 428MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  10.09%    111.8MiB / 11.57GiB   147MB / 428MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  10.12%    91.38MiB / 11.57GiB   147MB / 429MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  45.01%    143.2MiB / 11.57GiB   508MB / 426MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  0.67%     66.38MiB / 11.57GiB   5.43MB / 2.52MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.30%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.05%     19.57MiB / 11.57GiB   259kB / 980kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                172.76%   93.32MiB / 11.57GiB   10.9MB / 363MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   7.34%     10.58MiB / 2GiB       164MB / 137MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.633MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   43.32%    11.33MiB / 2GiB       167MB / 140MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   49.93%    8.824MiB / 2GiB       167MB / 140MB     0B / 0B       9
