CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.59%     8.109MiB / 2GiB       1.94MB / 875kB    0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.87%     8.031MiB / 2GiB       1.78MB / 790kB    0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.24%     8.23MiB / 2GiB        1.95MB / 865kB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  28.83%    137.5MiB / 11.57GiB   87.3MB / 71MB     1.68MB / 51.3MB   13
5a3b44a74e0d   peer2.org1.example.com                                                                                  31.53%    148.7MiB / 11.57GiB   86.5MB / 75.3MB   61.4kB / 23.9MB   13
f52bcfec683a   peer1.org1.example.com                                                                                  28.38%    131.7MiB / 11.57GiB   85.5MB / 72.8MB   168kB / 24.4MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  20.91%    122.3MiB / 11.57GiB   32.9MB / 23.7MB   12.8MB / 14.4MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  14.20%    137MiB / 11.57GiB     85.7MB / 78.1MB   16.5MB / 15.3MB   12
4dcc78dc2550   couchdb0                                                                                                20.75%    75.34MiB / 11.57GiB   1.51MB / 1.52MB   15.8MB / 11.3MB   42
c3d37a692212   couchdb1                                                                                                24.37%    89.34MiB / 11.57GiB   2.42MB / 2.54MB   12.6MB / 10.6MB   42
acbdacfc7222   orderer.example.com                                                                                     12.95%    84.91MiB / 11.57GiB   18.3MB / 72.7MB   19.6MB / 36.2MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
