CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
d412be458b33   peer2.org1.example.com                                                                                  11.39%    77.33MiB / 11.57GiB   15.4MB / 30.9MB   0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  12.52%    80.43MiB / 11.57GiB   15.3MB / 31MB     0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  38.57%    94.18MiB / 11.57GiB   39.5MB / 32MB     0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  1.73%     71.32MiB / 11.57GiB   6.91MB / 3.99MB   0B / 3.36MB     10
a52ef1eafd43   couchdb0                                                                                                157.44%   57.03MiB / 11.57GiB   937kB / 23.9MB    0B / 1.41MB     42
3f41b9cb9a7c   couchdb1                                                                                                0.87%     55.45MiB / 11.57GiB   362kB / 338kB     0B / 1.41MB     42
f468fff84ef9   orderer.example.com                                                                                     0.04%     15.09MiB / 11.57GiB   243kB / 1.38MB    123kB / 504kB   9
1a45b6ea5380   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   46.9kB / 77.2kB   0B / 1.13MB     8
a1f9045aee12   ca_orderer                                                                                              0.00%     7.195MiB / 11.57GiB   24kB / 27.2kB     0B / 659kB      7
9d7311074e90   ca_org1                                                                                                 0.00%     7.184MiB / 11.57GiB   47.4kB / 77.7kB   0B / 1.13MB     7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.20%    8.375MiB / 2GiB       16MB / 13.5MB     0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 419kB     0B / 0B         7
6cc19a534190   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   18.42%    8.277MiB / 2GiB       15.7MB / 13.1MB   0B / 0B         8
fb9114b209da   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.01%    8.199MiB / 2GiB       15.7MB / 13.1MB   0B / 0B         9
d3772be92cd6   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.145MiB / 2GiB       7.63kB / 4.45kB   0B / 0B         7
466e51efcc70   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.348MiB / 2GiB       7.72kB / 4.51kB   0B / 0B         7
e4efb9669bcf   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.62%    8.332MiB / 2GiB       15.7MB / 13.1MB   0B / 0B         9
6d5ec4da5944   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.566MiB / 2GiB       7.59kB / 4.34kB   0B / 0B         7
06a857bd7e05   peer3.org2.example.com                                                                                  1.27%     86.27MiB / 11.57GiB   5.99MB / 3.01MB   0B / 3.44MB     10
