CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
da4759b8b658   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.87%    9.012MiB / 2GiB       5.54MB / 4.65MB   0B / 0B       8
0484de522cfb   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   10.57%    8.434MiB / 2GiB       5.4MB / 4.57MB    0B / 0B       8
19cff4ebf93a   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     7.777MiB / 2GiB       642kB / 766kB     0B / 0B       7
1d260a5254fa   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.77%    8.359MiB / 2GiB       5.52MB / 4.66MB   0B / 0B       8
d9033ef3909c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   15.27%    8.648MiB / 2GiB       5.65MB / 4.77MB   0B / 0B       8
20e75ff24b94   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   17.23%    8.922MiB / 2GiB       5.64MB / 4.76MB   0B / 0B       8
b9c2988b0d25   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.10%    8.641MiB / 2GiB       5.78MB / 5.11MB   0B / 0B       8
cef409666a0a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.40%    8.293MiB / 2GiB       5.64MB / 4.76MB   0B / 0B       8
44d4fc6ec93e   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.62%    8.469MiB / 2GiB       5.52MB / 4.66MB   0B / 0B       8
50d7c96589f6   peer7.org1.example.com                                                                                  8.28%     93.07MiB / 11.57GiB   10.8MB / 17MB     0B / 3.58MB   10
c1a1a5e899de   peer6.org1.example.com                                                                                  6.98%     81.86MiB / 11.57GiB   10.1MB / 16.8MB   0B / 3.58MB   11
b80b8eda5d75   peer5.org1.example.com                                                                                  8.01%     99.34MiB / 11.57GiB   10.1MB / 17.4MB   0B / 3.58MB   11
1839107766ad   peer4.org1.example.com                                                                                  7.58%     95.46MiB / 11.57GiB   10.6MB / 17.1MB   0B / 3.58MB   11
ed44dc49ae1c   peer3.org1.example.com                                                                                  6.84%     92.2MiB / 11.57GiB    10.5MB / 17.4MB   0B / 3.58MB   10
b1a89459ec32   peer2.org1.example.com                                                                                  6.86%     75.31MiB / 11.57GiB   10.1MB / 17.1MB   0B / 3.58MB   11
8a45f79a4804   peer1.org1.example.com                                                                                  8.06%     87.92MiB / 11.57GiB   10.8MB / 16.9MB   0B / 3.58MB   10
c1811b96f06a   cli                                                                                                     0.00%     1.066MiB / 11.57GiB   110kB / 17.4kB    0B / 336kB    1
3b66cb360c27   peer0.org2.example.com                                                                                  1.27%     74.43MiB / 11.57GiB   6.32MB / 3.32MB   0B / 3.43MB   12
b49ca7ddc6f5   peer0.org1.example.com                                                                                  24.71%    94.18MiB / 11.57GiB   23.8MB / 18.2MB   0B / 3.43MB   10
c81699a7ff34   orderer.example.com                                                                                     0.06%     22.07MiB / 11.57GiB   292kB / 2.06MB    0B / 627kB    10
67b1c067a9ed   couchdb0                                                                                                117.50%   62.36MiB / 11.57GiB   871kB / 12.7MB    0B / 1.55MB   42
b4b7d0f9edaa   couchdb1                                                                                                1.12%     60.96MiB / 11.57GiB   567kB / 567kB     0B / 1.54MB   42
f6a7348b6dd1   ca_org1                                                                                                 0.00%     7.902MiB / 11.57GiB   72.5kB / 134kB    0B / 1.65MB   7
973af4fd171f   ca_orderer                                                                                              0.00%     7.949MiB / 11.57GiB   24.2kB / 27.2kB   0B / 659kB    8
3fd64c3f4316   ca_org2                                                                                                 0.00%     8.098MiB / 11.57GiB   28.6kB / 35.4kB   0B / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
da4759b8b658   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.65%    8.508MiB / 2GiB       9MB / 7.6MB       0B / 0B       8
0484de522cfb   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.96%    9.039MiB / 2GiB       8.91MB / 7.53MB   0B / 0B       8
19cff4ebf93a   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.03%     7.777MiB / 2GiB       643kB / 766kB     0B / 0B       7
1d260a5254fa   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   12.20%    8.766MiB / 2GiB       9.03MB / 7.62MB   0B / 0B       8
d9033ef3909c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   15.66%    8.449MiB / 2GiB       9.16MB / 7.73MB   0B / 0B       8
20e75ff24b94   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.33%    8.688MiB / 2GiB       8.76MB / 7.39MB   0B / 0B       8
b9c2988b0d25   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.24%    11.27MiB / 2GiB       9.39MB / 8.17MB   0B / 0B       8
cef409666a0a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.41%    8.633MiB / 2GiB       9.27MB / 7.82MB   0B / 0B       8
44d4fc6ec93e   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.78%    8.258MiB / 2GiB       9.04MB / 7.62MB   0B / 0B       9
50d7c96589f6   peer7.org1.example.com                                                                                  6.41%     94.17MiB / 11.57GiB   13.9MB / 26.2MB   0B / 3.58MB   10
c1a1a5e899de   peer6.org1.example.com                                                                                  5.76%     82.63MiB / 11.57GiB   13.2MB / 26MB     0B / 3.58MB   11
b80b8eda5d75   peer5.org1.example.com                                                                                  7.76%     100.2MiB / 11.57GiB   13.2MB / 26.7MB   0B / 3.58MB   11
1839107766ad   peer4.org1.example.com                                                                                  6.94%     96.8MiB / 11.57GiB    13.7MB / 26.5MB   0B / 3.58MB   11
ed44dc49ae1c   peer3.org1.example.com                                                                                  7.47%     96.87MiB / 11.57GiB   13.7MB / 27MB     0B / 3.58MB   12
b1a89459ec32   peer2.org1.example.com                                                                                  5.51%     79.41MiB / 11.57GiB   13.2MB / 26.6MB   0B / 3.58MB   11
8a45f79a4804   peer1.org1.example.com                                                                                  4.99%     92.35MiB / 11.57GiB   13.7MB / 25.7MB   0B / 3.58MB   10
c1811b96f06a   cli                                                                                                     0.00%     1.066MiB / 11.57GiB   110kB / 17.4kB    0B / 336kB    1
3b66cb360c27   peer0.org2.example.com                                                                                  1.47%     74.44MiB / 11.57GiB   6.37MB / 3.36MB   0B / 3.43MB   12
b49ca7ddc6f5   peer0.org1.example.com                                                                                  21.44%    99.02MiB / 11.57GiB   34.8MB / 28MB     0B / 3.43MB   10
c81699a7ff34   orderer.example.com                                                                                     0.04%     22.11MiB / 11.57GiB   297kB / 2.06MB    0B / 627kB    10
67b1c067a9ed   couchdb0                                                                                                80.97%    62.66MiB / 11.57GiB   1.06MB / 20.5MB   0B / 1.55MB   42
b4b7d0f9edaa   couchdb1                                                                                                2.01%     60.26MiB / 11.57GiB   568kB / 567kB     0B / 1.54MB   42
f6a7348b6dd1   ca_org1                                                                                                 0.00%     7.902MiB / 11.57GiB   72.6kB / 134kB    0B / 1.65MB   7
973af4fd171f   ca_orderer                                                                                              0.00%     7.949MiB / 11.57GiB   24.3kB / 27.2kB   0B / 659kB    8
3fd64c3f4316   ca_org2                                                                                                 0.00%     8.098MiB / 11.57GiB   28.7kB / 35.4kB   0B / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
da4759b8b658   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.03%    8.109MiB / 2GiB       12.1MB / 10.2MB   0B / 0B       8
0484de522cfb   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   15.34%    9.18MiB / 2GiB        12.3MB / 10.4MB   0B / 0B       8
19cff4ebf93a   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     7.777MiB / 2GiB       643kB / 766kB     0B / 0B       7
1d260a5254fa   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.63%    7.77MiB / 2GiB        12.3MB / 10.3MB   0B / 0B       9
d9033ef3909c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   15.29%    8.75MiB / 2GiB        12.3MB / 10.4MB   0B / 0B       8
20e75ff24b94   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.62%    11.01MiB / 2GiB       11.9MB / 10MB     0B / 0B       8
