CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
9291e27beff2   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   11.88%    8.184MiB / 2GiB       3.96MB / 3.45MB   0B / 0B       7
d99f8a07f1ff   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.441MiB / 2GiB       5.86kB / 2.65kB   0B / 0B       7
b1da17ad0668   dev-peer5.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   11.79%    8.324MiB / 2GiB       3.76MB / 3.14MB   0B / 0B       7
9c03531e6c66   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.664MiB / 2GiB       5.69kB / 2.69kB   0B / 0B       7
68f8cad3c208   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     6.672MiB / 2GiB       309kB / 365kB     0B / 0B       7
98e80f7b38ce   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.54%    8.395MiB / 2GiB       3.71MB / 3.1MB    0B / 0B       7
26af6c2065ba   dev-peer7.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.223MiB / 2GiB       5.5kB / 2.69kB    0B / 0B       6
55276b064842   dev-peer7.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.51%    8.184MiB / 2GiB       3.76MB / 3.14MB   0B / 0B       8
0c79b43b80af   dev-peer6.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   11.46%    8.758MiB / 2GiB       3.77MB / 3.14MB   0B / 0B       8
415d3ac59ac5   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.24%    8.895MiB / 2GiB       3.57MB / 2.98MB   0B / 0B       8
74d9211b9a42   dev-peer5.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.148MiB / 2GiB       5.37kB / 2.58kB   0B / 0B       6
854ed6b189c6   dev-peer4.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.04%    8.23MiB / 2GiB        3.71MB / 3.1MB    0B / 0B       8
6b14f7700a04   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.293MiB / 2GiB       5.83kB / 2.63kB   0B / 0B       7
ae5412612d55   dev-peer6.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.301MiB / 2GiB       5.73kB / 2.7kB    0B / 0B       7
b4564b8c4544   dev-peer4.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.508MiB / 2GiB       5.62kB / 2.71kB   0B / 0B       7
405f0d300742   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.33%    8.516MiB / 2GiB       3.63MB / 3.03MB   0B / 0B       8
76e0deed3c28   peer7.org2.example.com                                                                                  1.81%     80.31MiB / 11.57GiB   7.81MB / 4.67MB   0B / 3.45MB   10
97e4cfe26a85   peer6.org2.example.com                                                                                  2.37%     94.98MiB / 11.57GiB   7.72MB / 4.7MB    0B / 3.44MB   10
1fa7735f01c3   peer5.org2.example.com                                                                                  2.99%     103.7MiB / 11.57GiB   7.88MB / 4.71MB   0B / 3.44MB   10
d77cfd4b3e34   peer4.org2.example.com                                                                                  1.57%     91.54MiB / 11.57GiB   7.98MB / 4.99MB   0B / 3.44MB   10
d9570bcedd9d   peer3.org2.example.com                                                                                  1.56%     89.53MiB / 11.57GiB   8.02MB / 5.04MB   0B / 3.44MB   11
8ec70dc91c46   peer2.org2.example.com                                                                                  2.64%     71.74MiB / 11.57GiB   7.83MB / 5.06MB   0B / 3.44MB   10
55c58d322531   peer1.org2.example.com                                                                                  3.61%     87.05MiB / 11.57GiB   7.98MB / 5.13MB   0B / 3.44MB   10
dbbff7264562   peer7.org1.example.com                                                                                  7.39%     103.7MiB / 11.57GiB   11.5MB / 14.8MB   0B / 3.44MB   11
54f3b4d5e5c6   peer6.org1.example.com                                                                                  6.46%     91.96MiB / 11.57GiB   11.4MB / 15.1MB   0B / 3.45MB   12
a70a48a5854a   peer5.org1.example.com                                                                                  8.04%     78.59MiB / 11.57GiB   11.4MB / 14.5MB   0B / 3.44MB   12
ebee7a32a575   peer4.org1.example.com                                                                                  7.20%     93.65MiB / 11.57GiB   11.4MB / 14.9MB   0B / 3.44MB   10
374935af152b   peer3.org1.example.com                                                                                  8.08%     80.68MiB / 11.57GiB   11.5MB / 14.8MB   0B / 3.44MB   11
e0d28cf66057   peer2.org1.example.com                                                                                  7.22%     88.21MiB / 11.57GiB   11.4MB / 14.7MB   0B / 3.44MB   10
b94066f0a2a5   peer1.org1.example.com                                                                                  6.17%     90.48MiB / 11.57GiB   11.6MB / 15.3MB   0B / 3.44MB   11
68002ec6b978   cli                                                                                                     0.00%     1.062MiB / 11.57GiB   116kB / 17.7kB    0B / 336kB    1
1e3f5fb67b07   peer0.org2.example.com                                                                                  1.33%     78.15MiB / 11.57GiB   9.12MB / 6.39MB   0B / 3.36MB   10
003aae00fd5b   peer0.org1.example.com                                                                                  19.92%    106.6MiB / 11.57GiB   20.9MB / 16.4MB   0B / 3.36MB   11
00f5b258c8cf   couchdb0                                                                                                102.00%   58.01MiB / 11.57GiB   571kB / 8.31MB    0B / 1.41MB   42
885e4884a897   orderer.example.com                                                                                     0.06%     23.08MiB / 11.57GiB   322kB / 2.71MB    0B / 520kB    12
b07cf842f304   couchdb1                                                                                                1.15%     57.24MiB / 11.57GiB   366kB / 337kB     0B / 1.41MB   42
980ffa471909   ca_org2                                                                                                 0.00%     7.395MiB / 11.57GiB   78.6kB / 133kB    0B / 1.65MB   8
b90f9bc9bf8a   ca_orderer                                                                                              0.00%     6.934MiB / 11.57GiB   30.2kB / 27.2kB   0B / 659kB    7
2a7986d3694b   ca_org1                                                                                                 0.00%     7.418MiB / 11.57GiB   78.6kB / 134kB    0B / 1.65MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
9291e27beff2   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.34%    7.711MiB / 2GiB       6.76MB / 5.8MB    0B / 0B       8
d99f8a07f1ff   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.441MiB / 2GiB       5.86kB / 2.65kB   0B / 0B       7
b1da17ad0668   dev-peer5.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.21%    7.852MiB / 2GiB       6.49MB / 5.42MB   0B / 0B       8
9c03531e6c66   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.664MiB / 2GiB       5.69kB / 2.69kB   0B / 0B       7
68f8cad3c208   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     6.672MiB / 2GiB       309kB / 365kB     0B / 0B       7
98e80f7b38ce   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.15%    7.949MiB / 2GiB       6.7MB / 5.6MB     0B / 0B       7
26af6c2065ba   dev-peer7.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.223MiB / 2GiB       5.5kB / 2.69kB    0B / 0B       6
55276b064842   dev-peer7.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   13.18%    8.398MiB / 2GiB       6.62MB / 5.53MB   0B / 0B       8
0c79b43b80af   dev-peer6.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.08%    8.074MiB / 2GiB       6.48MB / 5.38MB   0B / 0B       8
415d3ac59ac5   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.56%    8.277MiB / 2GiB       6.5MB / 5.43MB    0B / 0B       9
74d9211b9a42   dev-peer5.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.148MiB / 2GiB       5.37kB / 2.58kB   0B / 0B       6
854ed6b189c6   dev-peer4.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.32%    8.223MiB / 2GiB       6.57MB / 5.49MB   0B / 0B       8
6b14f7700a04   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.293MiB / 2GiB       5.83kB / 2.63kB   0B / 0B       7
ae5412612d55   dev-peer6.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.301MiB / 2GiB       5.73kB / 2.7kB    0B / 0B       7
b4564b8c4544   dev-peer4.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.508MiB / 2GiB       5.62kB / 2.71kB   0B / 0B       7
405f0d300742   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.83%    8.09MiB / 2GiB        6.51MB / 5.42MB   0B / 0B       8
76e0deed3c28   peer7.org2.example.com                                                                                  2.75%     80.34MiB / 11.57GiB   7.88MB / 4.74MB   0B / 3.45MB   10
