CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
b125afb7b804   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   8.00%     8.188MiB / 2GiB       4.85MB / 4.18MB   0B / 0B       7
21b627ec406a   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     6.742MiB / 2GiB       329kB / 390kB     0B / 0B       7
1d1501328163   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   8.92%     8.07MiB / 2GiB        4.48MB / 3.75MB   0B / 0B       8
444c3c3e2578   dev-peer4.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   8.29%     8.109MiB / 2GiB       4.53MB / 3.79MB   0B / 0B       8
2ba2d3650f30   dev-peer5.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   8.68%     7.984MiB / 2GiB       4.6MB / 3.85MB    0B / 0B       8
220b5746798b   dev-peer6.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   9.04%     8.156MiB / 2GiB       4.55MB / 3.8MB    0B / 0B       7
d5c9a733560f   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   7.45%     8.059MiB / 2GiB       4.4MB / 3.62MB    0B / 0B       8
89fbc9033d91   dev-peer7.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   9.82%     7.988MiB / 2GiB       4.53MB / 3.79MB   0B / 0B       7
fb3aa945ad7d   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   10.24%    7.68MiB / 2GiB        4.41MB / 3.69MB   0B / 0B       8
98b99c380aa9   peer7.org1.example.com                                                                                  6.54%     94.11MiB / 11.57GiB   9.39MB / 14.3MB   0B / 3.44MB   10
