CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
9b914a01b1c2   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.633MiB / 2GiB       4.58MB / 2.35MB   0B / 0B           8
4b8e141dde8f   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.312MiB / 2GiB       4.44MB / 2.3MB    0B / 0B           8
e520cc15676a   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.05%     8.633MiB / 2GiB       4.12MB / 1.7MB    0B / 0B           8
157da0ed7250   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.93%     8.121MiB / 2GiB       3.92MB / 1.56MB   0B / 0B           8
e8b5d23b9072   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.87%     8.699MiB / 2GiB       4MB / 1.65MB      0B / 0B           8
52b337de8170   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.99%     8.184MiB / 2GiB       4.15MB / 1.71MB   0B / 0B           9
4506cb92ea9e   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.10%     8.453MiB / 2GiB       3.9MB / 1.55MB    0B / 0B           8
cb0daf3c681b   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.64%     8.34MiB / 2GiB        4.06MB / 1.61MB   0B / 0B           8
b74f00883638   peer3.org2.example.com                                                                                  13.95%    116.4MiB / 11.57GiB   223MB / 196MB     0B / 60.4MB       14
ea02deae01d6   peer2.org2.example.com                                                                                  12.51%    116.5MiB / 11.57GiB   189MB / 138MB     0B / 60.5MB       14
4f9e8f128c9b   peer1.org2.example.com                                                                                  10.35%    113.8MiB / 11.57GiB   223MB / 195MB     0B / 60.5MB       14
490c24e2822e   peer3.org1.example.com                                                                                  13.64%    151.3MiB / 11.57GiB   227MB / 206MB     0B / 60.4MB       14
8749a2a7e890   peer2.org1.example.com                                                                                  14.26%    137MiB / 11.57GiB     226MB / 205MB     0B / 60.3MB       16
c7f841fae029   peer1.org1.example.com                                                                                  14.85%    137.4MiB / 11.57GiB   188MB / 143MB     0B / 60.3MB       15
d808b1249434   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.5kB    115kB / 336kB     1
69e22711c63d   peer0.org1.example.com                                                                                  11.75%    134.5MiB / 11.57GiB   218MB / 188MB     0B / 41.3MB       14
b22147efce3e   peer0.org2.example.com                                                                                  4.76%     110.1MiB / 11.57GiB   218MB / 179MB     0B / 40.3MB       14
28c9384c142b   couchdb0                                                                                                24.55%    102.9MiB / 11.57GiB   3.17MB / 3.25MB   0B / 51.8MB       42
098caa4b1909   orderer.example.com                                                                                     9.45%     84.1MiB / 11.57GiB    42.9MB / 296MB    0B / 85MB         15
8bba9c2ff87f   couchdb1                                                                                                17.37%    92.46MiB / 11.57GiB   3.11MB / 3.18MB   0B / 48.7MB       42
3603f92ee848   ca_orderer                                                                                              0.00%     7.168MiB / 11.57GiB   24.2kB / 27.2kB   0B / 659kB        7
e8c1ee08c3c7   ca_org2                                                                                                 0.00%     7.328MiB / 11.57GiB   47.3kB / 77.2kB   0B / 1.13MB       8
765e353197d1   ca_org1                                                                                                 0.00%     7.301MiB / 11.57GiB   47.1kB / 77.5kB   8.19kB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
9b914a01b1c2   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.633MiB / 2GiB       4.58MB / 2.35MB   0B / 0B           8
4b8e141dde8f   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.312MiB / 2GiB       4.44MB / 2.3MB    0B / 0B           8
e520cc15676a   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.30%     8.062MiB / 2GiB       4.44MB / 1.83MB   0B / 0B           8
157da0ed7250   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.38%     8.453MiB / 2GiB       4.3MB / 1.69MB    0B / 0B           8
e8b5d23b9072   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.93%     8.516MiB / 2GiB       4.53MB / 1.84MB   0B / 0B           8
52b337de8170   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.01%     8.293MiB / 2GiB       4.49MB / 1.85MB   0B / 0B           9
4506cb92ea9e   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.92%     8.262MiB / 2GiB       4.25MB / 1.67MB   0B / 0B           8
cb0daf3c681b   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.54%     8.094MiB / 2GiB       4.43MB / 1.76MB   0B / 0B           8
b74f00883638   peer3.org2.example.com                                                                                  17.70%    126.8MiB / 11.57GiB   236MB / 208MB     0B / 62.2MB       14
ea02deae01d6   peer2.org2.example.com                                                                                  18.12%    118.2MiB / 11.57GiB   202MB / 148MB     0B / 63.2MB       14
4f9e8f128c9b   peer1.org2.example.com                                                                                  21.62%    118.3MiB / 11.57GiB   234MB / 205MB     0B / 63.6MB       14
490c24e2822e   peer3.org1.example.com                                                                                  20.16%    178.6MiB / 11.57GiB   241MB / 219MB     0B / 61.7MB       15
8749a2a7e890   peer2.org1.example.com                                                                                  19.18%    158.7MiB / 11.57GiB   237MB / 215MB     0B / 62.5MB       16
c7f841fae029   peer1.org1.example.com                                                                                  15.81%    162.2MiB / 11.57GiB   203MB / 155MB     0B / 61.4MB       15
d808b1249434   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.5kB    115kB / 336kB     1
69e22711c63d   peer0.org1.example.com                                                                                  12.48%    152.4MiB / 11.57GiB   230MB / 196MB     0B / 42.2MB       14
b22147efce3e   peer0.org2.example.com                                                                                  9.17%     120.1MiB / 11.57GiB   229MB / 186MB     0B / 40.8MB       14
28c9384c142b   couchdb0                                                                                                18.11%    92.36MiB / 11.57GiB   3.22MB / 3.3MB    0B / 53.7MB       42
098caa4b1909   orderer.example.com                                                                                     20.26%    102.2MiB / 11.57GiB   45.9MB / 314MB    0B / 91.1MB       15
8bba9c2ff87f   couchdb1                                                                                                20.41%    90.56MiB / 11.57GiB   3.14MB / 3.21MB   0B / 49.2MB       42
3603f92ee848   ca_orderer                                                                                              0.00%     7.168MiB / 11.57GiB   24.3kB / 27.2kB   0B / 659kB        7
e8c1ee08c3c7   ca_org2                                                                                                 0.00%     7.328MiB / 11.57GiB   47.3kB / 77.2kB   0B / 1.13MB       8
765e353197d1   ca_org1                                                                                                 0.00%     7.301MiB / 11.57GiB   47.1kB / 77.5kB   8.19kB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
9b914a01b1c2   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.633MiB / 2GiB       4.58MB / 2.35MB   0B / 0B           8
4b8e141dde8f   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.312MiB / 2GiB       4.44MB / 2.3MB    0B / 0B           8
e520cc15676a   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.45%     8.113MiB / 2GiB       4.71MB / 1.92MB   0B / 0B           8
