CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
0671c32e075d   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.656MiB / 2GiB       338kB / 398kB     0B / 0B           7
5dcc513835b3   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.89%    9.035MiB / 2GiB       195MB / 162MB     0B / 0B           10
989bf3ed153b   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.75%    8.387MiB / 2GiB       195MB / 162MB     0B / 0B           10
03885d6ea3d2   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   6.25%     11.29MiB / 2GiB       151MB / 123MB     0B / 0B           9
6be0761ca5c8   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.98MiB / 2GiB        10.8kB / 7.3kB    8.19kB / 0B       7
adbf8153b2df   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.641MiB / 2GiB       10.7kB / 7.41kB   0B / 0B           7
1c38773ba174   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.965MiB / 2GiB       10.5kB / 6.97kB   0B / 0B           7
18bcd802bbd5   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.65%    8.789MiB / 2GiB       195MB / 163MB     0B / 0B           9
3e585e4bc35b   peer3.org2.example.com                                                                                  0.67%     68.37MiB / 11.57GiB   7.99MB / 5.1MB    0B / 3.44MB       10
b456039b3316   peer2.org2.example.com                                                                                  0.68%     84MiB / 11.57GiB      8.01MB / 5.08MB   0B / 3.43MB       10
de4c7e9602ba   peer1.org2.example.com                                                                                  1.04%     84.07MiB / 11.57GiB   8.07MB / 5.17MB   0B / 3.43MB       10
0cd221b3bb3e   peer3.org1.example.com                                                                                  11.82%    117.1MiB / 11.57GiB   178MB / 516MB     0B / 3.43MB       11
dc4745e5c1af   peer2.org1.example.com                                                                                  14.28%    105.7MiB / 11.57GiB   178MB / 516MB     12.3kB / 3.43MB   11
eb21281c41ea   peer1.org1.example.com                                                                                  12.69%    102.9MiB / 11.57GiB   178MB / 517MB     0B / 3.44MB       11
b6dda55276d8   cli                                                                                                     0.00%     11.49MiB / 11.57GiB   111kB / 17.6kB    13.6MB / 336kB    1
5c35a49c7b84   peer0.org2.example.com                                                                                  1.54%     83.49MiB / 11.57GiB   8.91MB / 6.03MB   21.6MB / 3.35MB   10
b5cb885f4c5b   peer0.org1.example.com                                                                                  18.92%    132.3MiB / 11.57GiB   570MB / 394MB     9.72MB / 47.2MB   12
667496bdfc6c   couchdb0                                                                                                171.40%   115.3MiB / 11.57GiB   19MB / 431MB      14.9MB / 1.41MB   42
677b2eb6acdf   couchdb1                                                                                                0.27%     65.14MiB / 11.57GiB   362kB / 337kB     13.5MB / 1.41MB   42
919b12fbaeaf   orderer.example.com                                                                                     0.05%     21.56MiB / 11.57GiB   524kB / 1.74MB    19.6MB / 504kB    10
d469e752861b   ca_org2                                                                                                 0.00%     7.16MiB / 11.57GiB    47.7kB / 77.2kB   0B / 1.13MB       7
409ec3d2ffdf   ca_org1                                                                                                 0.00%     7.016MiB / 11.57GiB   47.7kB / 77.6kB   0B / 1.13MB       8
38881b00275e   ca_orderer                                                                                              0.00%     7.016MiB / 11.57GiB   24.5kB / 27.2kB   0B / 659kB        7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
0671c32e075d   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.656MiB / 2GiB       338kB / 398kB     0B / 0B           7
5dcc513835b3   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.87%    9.73MiB / 2GiB        200MB / 166MB     0B / 0B           10
989bf3ed153b   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.10%    9.797MiB / 2GiB       200MB / 167MB     0B / 0B           10
03885d6ea3d2   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   18.51%    13.88MiB / 2GiB       155MB / 127MB     0B / 0B           9
6be0761ca5c8   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.98MiB / 2GiB        10.8kB / 7.3kB    8.19kB / 0B       7
adbf8153b2df   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.641MiB / 2GiB       10.7kB / 7.41kB   0B / 0B           7
1c38773ba174   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.965MiB / 2GiB       10.5kB / 6.97kB   0B / 0B           7
18bcd802bbd5   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.53%    9.246MiB / 2GiB       201MB / 167MB     0B / 0B           9
3e585e4bc35b   peer3.org2.example.com                                                                                  1.38%     68.37MiB / 11.57GiB   8.03MB / 5.15MB   0B / 3.44MB       10
b456039b3316   peer2.org2.example.com                                                                                  1.37%     84MiB / 11.57GiB      8.05MB / 5.11MB   0B / 3.43MB       10
de4c7e9602ba   peer1.org2.example.com                                                                                  1.80%     84.09MiB / 11.57GiB   8.11MB / 5.2MB    0B / 3.43MB       10
0cd221b3bb3e   peer3.org1.example.com                                                                                  13.85%    112.1MiB / 11.57GiB   182MB / 529MB     0B / 3.43MB       11
dc4745e5c1af   peer2.org1.example.com                                                                                  13.01%    105.8MiB / 11.57GiB   183MB / 530MB     12.3kB / 3.43MB   11
eb21281c41ea   peer1.org1.example.com                                                                                  13.15%    100.2MiB / 11.57GiB   183MB / 532MB     0B / 3.44MB       11
b6dda55276d8   cli                                                                                                     0.00%     11.49MiB / 11.57GiB   111kB / 17.6kB    13.6MB / 336kB    1
5c35a49c7b84   peer0.org2.example.com                                                                                  1.63%     83.48MiB / 11.57GiB   8.94MB / 6.06MB   21.6MB / 3.35MB   10
b5cb885f4c5b   peer0.org1.example.com                                                                                  34.96%    149.2MiB / 11.57GiB   584MB / 406MB     9.72MB / 47.2MB   12
667496bdfc6c   couchdb0                                                                                                148.77%   115.7MiB / 11.57GiB   19.3MB / 442MB    14.9MB / 1.41MB   42
677b2eb6acdf   couchdb1                                                                                                0.16%     65.15MiB / 11.57GiB   362kB / 337kB     13.5MB / 1.41MB   42
919b12fbaeaf   orderer.example.com                                                                                     0.05%     21.57MiB / 11.57GiB   524kB / 1.74MB    19.6MB / 504kB    10
d469e752861b   ca_org2                                                                                                 0.00%     7.16MiB / 11.57GiB    47.7kB / 77.2kB   0B / 1.13MB       7
409ec3d2ffdf   ca_org1                                                                                                 0.00%     7.016MiB / 11.57GiB   47.7kB / 77.6kB   0B / 1.13MB       8
38881b00275e   ca_orderer                                                                                              0.00%     7.016MiB / 11.57GiB   24.5kB / 27.2kB   0B / 659kB        7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
0671c32e075d   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.656MiB / 2GiB       338kB / 398kB     0B / 0B           7
5dcc513835b3   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   27.83%    9.645MiB / 2GiB       205MB / 171MB     0B / 0B           10
989bf3ed153b   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.92%    8.832MiB / 2GiB       206MB / 172MB     0B / 0B           10
03885d6ea3d2   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   19.45%    13.46MiB / 2GiB       160MB / 130MB     0B / 0B           9
6be0761ca5c8   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     4.98MiB / 2GiB        11kB / 7.43kB     8.19kB / 0B       7
